place_id,canonical_name,lat,lng,address,category,sub_category,keywords,district,image_url,source_url,source,location_confidence
POI_CA649B31,서울시립 미술아카이브,37.6078008399411,126.97190179486,서울특별시 종로구 평창문화로 101,미술관/갤러리,,,종로구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5d2c898c8de243f9ba8097ae143a2862&thumb=Y,https://sema.seoul.go.kr/kr/visit/art_archive,서울시문화공간,A
POI_7314E2C0,서울시립 북서울미술관,37.6406604547872,127.066865579183,서울특별시 노원구 동일로 1238,미술관/갤러리,,,노원구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d1e78e9db32549a59962189dbad07e0e&thumb=Y,https://sema.seoul.go.kr/kr/visit/bukseoul,서울시문화공간,A
POI_F55EAA76,서울시립 사진미술관,37.6555150225578,127.048947814686,서울 도봉구 마들로13길 68 (창동)서울시립 사진미술관,미술관/갤러리,,,도봉구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a326a4c4e27a4928bc3c6c6ae01ea38c&thumb=Y,https://sema.seoul.go.kr/kr/visit/photosema,서울시문화공간,A
POI_A837614D,서울시립 서서울미술관,37.4580752536422,126.894935931812,서울 금천구 시흥대로79길 65 (독산동)서울시립 서서울미술관,미술관/갤러리,,,금천구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0723e2284b914f6cb14bf5e024344217&thumb=Y,https://sema.seoul.go.kr/kr/visit/seoseoul,서울시문화공간,A
POI_DFB8CA99,서울시립과학관,37.6419941138165,127.07743706477,서울특별시 노원구 한글비석로 160,기타,,,노원구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d84dab98d9634553b8d20e9aa35fbef7&thumb=Y,http://science.seoul.go.kr,서울시문화공간,A
POI_7F141630,서울시립교향악단,37.5718478584908,126.976168275947,서울시 종로구 세종대로 175 예술동 3층,공연장,,,종로구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e90e0a95fd224ae6b12954f510b6719e&thumb=Y,https://www.seoulphil.or.kr/,서울시문화공간,A
POI_C06B0CA5,서울시립대학교 박물관,37.5825775765293,127.059988126984,서울특별시 동대문구 서울시립대로 163,박물관/기념관,,,동대문구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100152&thumb=Y,https://www.uos.ac.kr/kor/html/auos/guide/map/map_view29.do?epTicket=LOG,서울시문화공간,A
POI_4C1C2F2B,서울시립미술관 서소문본관,37.5641060692766,126.973699316136,서울특별시 중구 덕수궁길 61,공공시설,,,,,https://sema.seoul.go.kr/,서울시야경명소,A
POI_EB158EC4,서울시립청소년음악센터,37.5105883194895,126.842870706009,서울특별시 양천구 남부순환로 657,기타,,,양천구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=56dfa257fd6c4abc97112be6fe5821a0&thumb=Y,https://symc.or.kr/,서울시문화공간,A
POI_D56BE522,서울시민대학 다시가는 캠퍼스,37.4722178724298,126.958335234959,서울특별시 관악구 낙성대로 70,기타,,,관악구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=26af5e433cd7446bb51d3225508df10e&thumb=Y,https://sll.seoul.go.kr/,서울시문화공간,A
